name,prompt,negative_prompt
,,
>>>>>>>> NEGATIVE PROMT <<<<<<<<,,

NA - Negative anime,,"hyperrealistic, live-action, non-stylized, photorealistic textures, naturalistic colors, soft focus, realism, western animation style, 3D CG look, characters not centered, part of character or scene cropped out, character spilling over edge"
NA - Negative anime character,,"hyperrealistic, live-action, non-stylized, photorealistic textures, naturalistic colors, soft focus, realism, western animation style, 3D CG look, characters not centered, part of character or scene cropped out, character spilling over edge, bad anatomy, disfigured, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, mutated hands, fused fingers, too many fingers, long neck, cloned face, Photoshop mistakes, video game graphics, ugly distortions, tiling errors, poorly drawn hands, 3D render artifacts"
NA - Negative art,,"(worst quality, low quality:1.3) photographic quality, hyperrealism, candid shot, accidental photo, out of focus, lens flare, motion blur, camera shake, high ISO noise"
NA - Negative art & photo,,"(worst quality, low quality:1.3) photographic quality, hyperrealism, candid shot, accidental photo, out of focus, lens flare, motion blur, camera shake, high ISO noise, artwork not centered, canvas edges visible, artwork overextended beyond canvas"
NA - Negative art character,,"photographic quality, hyperrealism, candid shot, accidental photo, out of focus, lens flare, motion blur, camera shake, high ISO noise, artwork not centered, canvas edges visible, artwork overextended beyond canvas, bad anatomy, disfigured, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, mutated hands, fused fingers, too many fingers, long neck, cloned face, Photoshop mistakes, video game graphics, ugly distortions, tiling errors, poorly drawn hands, 3D render artifacts, (worst quality, low quality:1.3)"
NA - Negative art portrait,,"photographic quality, hyperrealism, accidental photo, out of focus, lens flare, motion blur, camera shake, high ISO noise, bad anatomy, disfigured, gross proportions, malformed limbs, missing arms, extra arms, mutated hands, fused fingers, too many fingers, long neck, cloned face, video game graphics, ugly distortions, tiling errors, poorly drawn hands, 3D render artifacts, artwork not centered, canvas edges visible, artwork overextended beyond canvas"
NA - Negative bad hands,,"badly drawn hands, incorrect finger count, disproportionate fingers, malformed hands, fused fingers, oversized hands, undersized hands, missing nails, awkward hand poses, stiff fingers, hands cut off by frame, hands not in focus"
NA - Negative photo,,"painted look, brush strokes, canvas texture, illustration, digital painting, sketchy lines, visible layers, non-photorealistic rendering, artistic filters, photo not framed properly, subject off-center, important elements at edges, cartoon, black and white photo, disfigured, kitsch, ugly, oversaturated, grain, low-res, Deformed, blurry, bad anatomy, poorly drawn face, mutation, mutated, extra limb, poorly drawn hands, missing limb, blurry, floating limbs, disconnected limbs, malformed hands, blur, out of focus, long neck, long body, disgusting, poorly drawn, childish, mutilated, mangled, old, surreal"
NA - Negative photo portrait,,"blurry, bad anatomy, disfigured, gross proportions, malformed limbs, missing arms, extra arms, mutated hands, fused fingers, too many fingers, long neck, cloned face, Photoshop mistakes, video game graphics, ugly distortions, tiling errors, poorly drawn hands, 3D render artifacts, not centered, cropped edges, subjects cut off by frame, out of focus, lens flare, motion blur, camera shake, high ISO noise, flat lighting, lack of depth of field, oversimplified features"
NA - Negative photo realism,,"unrealistic lighting, flat shadows, cartoonish features, lack of texture, oversimplification, missing reflections, no depth of field, visible brush strokes, painted effect, subject not centered, important parts cropped out, composition not balanced"
NA - Negative universal,,"malformed, poorly drawn, blurry, low resolution, noisy, overexposed, underexposed, distorted, incorrect proportions, washed out colors, oversaturated colors, bad composition, floating objects, disconnection, missing details, (((unnatural poses))), (((ugly))), (((duplicate))), ((morbid)), ((mutilated)), out of frame, mutated hands, ((poorly drawn hands)), ((poorly drawn face)), (((mutation))), (((deformed))), blurry, (((bad proportions))), cloned face, (((disfigured))), (fused fingers), (too many fingers), (((long neck))), (((bsd anatomy)))"
NA - Negative universal character,,"(malformed:1.3), (poorly drawn:1.3), (blurry:1.3),( low resolution:1.3), noisy, overexposed, underexposed, (distorted:1.3), incorrect proportions, (bad anatomy:1.3) washed out colors, oversaturated colors, (bad composition:1.3), floating objects, disconnection, missing details, (extra limbs:1.3), (unnatural poses:1.3), (cropped edges:1.3), (subjects cut off by frame:1.3), important elements not centered, (disfigured:1.3), gross proportions, (malformed limbs:1.3), (missing arms:1.3), (missing legs:1.3), (extra arms:1.3), (extra legs:1.3), (mutated hands:1.3),( fused fingers:1.3),( too many fingers:1.3), long neck, (cloned face:1.3), (Photoshop mistakes:1.3), video game graphics, (ugly distortions:1.3), tiling errors, poorly drawn hands, 3D render artifacts"
NA - Negative XL1,,"malformed, extra limbs, poorly drawn anatomy, badly drawn, low resolution, blurry, watermark, text, censored, deformed, mutation, ugly, poorly drawn, worst quality, low quality, simple, plain, muted colors, dull, overly complex, cluttered, extra fingers, missing fingers, disconnected limbs, unnatural proportions, unrealistic, poorly detailed, bad lighting, flat, pixelated, noisy, soft, distorted"
NA - Negative XL2,,"badly rendered, distorted features, extra eyes, out of focus, oversaturated, underexposed, artificial, rough texture, poorly executed, unfinished, inconsistent style, harsh shadows, uneven lighting, cartoonish, juvenile, awkward composition, lack of depth, misaligned elements, overly simplified, harsh lines, excessive grain, pixel artifacts, low contrast, washed out, unrealistic textures"
NA - Negative Fooocus Enhance,,"(worst quality, low quality, normal quality, lowres, low details, oversaturated, undersaturated, overexposed, underexposed, grayscale, bw, bad photo, bad photography, bad art:1.4), (watermark, signature, text font, username, error, logo, words, letters, digits, autograph, trademark, name:1.2), (blur, blurry, grainy), morbid, ugly, asymmetrical, mutated malformed, mutilated, poorly lit, bad shadow, draft, cropped, out of frame, cut off, censored, jpeg artifacts, out of focus, glitch, duplicate, (airbrushed, cartoon, anime, semi-realistic, cgi, render, blender, digital art, manga, amateur:1.3), (3D ,3D Game, 3D Game Scene, 3D Character:1.1), (bad hands, bad anatomy, bad body, bad face, bad teeth, bad arms, bad legs, deformities:1.3)"
NA - Negative Fooocus Realistic,,"(worst quality, low quality, normal quality, lowres, low details, oversaturated, undersaturated, overexposed, underexposed, bad photo, bad photography, bad art:1.4), (watermark, signature, text font, username, error, logo, words, letters, digits, autograph, trademark, name:1.2), (blur, blurry, grainy), morbid, ugly, asymmetrical, mutated malformed, mutilated, poorly lit, bad shadow, draft, cropped, out of frame, cut off, censored, jpeg artifacts, out of focus, glitch, duplicate, (bad hands, bad anatomy, bad body, bad face, bad teeth, bad arms, bad legs, deformities:1.3)"
NA - Negative Fooocus,,"deformed, bad anatomy, disfigured, poorly drawn face, mutated, extra limb, ugly, poorly drawn hands, missing limb, floating limbs, disconnected limbs, disconnected head, malformed hands, long neck, mutated hands and fingers, bad hands, missing fingers, cropped, worst quality, low quality, mutation, poorly drawn, huge calf, bad hands, fused hand, missing hand, disappearing arms, disappearing thigh, disappearing calf, disappearing legs, missing fingers, fused fingers, abnormal eye proportion, Abnormal hands, abnormal legs, abnormal feet, abnormal fingers, drawing, painting, crayon, sketch, graphite, impressionist, noisy, blurry, soft, deformed, ugly, anime, cartoon, graphic, text, painting, crayon, graphite, abstract, glitch"

>>>>>>>> FLUX STYLE <<<<<<<<,,

NA-FLUX-Cyberpunk,"Cyberpunk Neon style, {prompt}. Hyper-futuristic megalopolis bathed in pulsating neon. Towering skyscrapers with holographic billboards. Streets teeming with hover vehicles and augmented humans. Inspired by Syd Mead, Blade Runner, and Ghost in the Shell. Intense contrast between deep shadows and vibrant, electric colors - think electric blue, acid green, and hot pink. Rain-slicked streets reflecting neon signs. Intricate technological details and cybernetic enhancements. Gritty, noir atmosphere with a high-tech twist.",
