name,prompt,negative_prompt
_____STYLE_____
RealisticStyle,"RAW photo, (high detailed skin:1.2), 8k uhd, dslr, soft lighting, high quality, film grain, Fujifilm XT3","(deformed iris, deformed pupils, semi-realistic, cgi, 3d, render, sketch, cartoon, drawing, anime:1.4), text, close up, cropped, out of frame, worst quality, low quality, jpeg artifacts, ugly, duplicate, morbid, mutilated, extra fingers, mutated hands, poorly drawn hands, poorly drawn face, mutation, deformed, blurry, dehydrated, bad anatomy, bad proportions, extra limbs, cloned face, disfigured, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, fused fingers, too many fingers, long neck"
StableSR Negative, ,"3d, cartoon, anime, sketches, (worst quality:2), (low quality:2)"
Negative Illuminate,,"nrealfixer, nfixer, nartfixer"
Negative PS,,"((((ugly)))), (((duplicate))), ((morbid)), ((mutilated)), out of frame, extra fingers, mutated hands, ((poorly drawn hands)), ((poorly drawn face)), (((mutation))), (((deformed))), ((ugly)), blurry, ((bad anatomy)), (((bad proportions))), ((extra limbs)), cloned face, (((disfigured))), out of frame, ugly, extra limbs, (bad anatomy), gross proportions, (malformed limbs), ((missing arms)), ((missing legs)), (((extra arms))), (((extra legs))), mutated hands, (fused fingers), (too many fingers), (((long neck)))"
Negative Xr,,"(deformed, distorted, disfigured:1.3), stacked torsos, totem pole, poorly drawn, bad anatomy, wrong anatomy, extra limb, missing limb, floating limbs, (mutated hands and fingers:1.4), disconnected limbs, mutation, mutated, ugly, disgusting, blurry, amputation"
Negative My,,"(deformed, distorted, disfigured:1.3), poorly drawn, bad anatomy, wrong anatomy, extra limb, missing limb, floating limbs, (mutated hands and fingers:1.4), disconnected limbs, mutation, mutated, ugly, disgusting, blurry, amputation, watermark, text"
Negative Realistic2,,"cartoon, painting, illustration, (worst quality, low quality, normal quality:2), (deformed, distorted, disfigured:1.3), poorly drawn, bad anatomy, wrong anatomy, extra limb, missing limb, floating limbs, (mutated hands and fingers:1.4), disconnected limbs, mutation, mutated, ugly, disgusting, blurry, amputation"
Negative Realistic3,,"(doll:1.2), asian, bad face, ugly fingers (bad teeth:1.2), (deformed:1.3), (bad anatomy:1.3), (bad body proportions::1.2), skewed, disfigured, worse quality, low quality, normal quality, low resolutions, poorly drawn, incorrect anatomy, two heads, two faces, superfluous fingers, (airbrushing, cartoon, anime, semi-realistic, cgi, rendering, blender, digital art, manga, amateur:1.3), (3D, 3D game, 3D game scene, 3D character: 1.1), draft, (mutated hands::1.2), (ugly hands:1.3), (poorly drawn face:1.2),( poorly drawn eyes:1.1), poorly drawn nose, (poorly drawn lips:1.2), mutation, ugly, (blurred:1.2), disproportionate, (bad anatomy::1.2), poor body proportions, extra limbs, poorly lit, bad shadow, draft, disfigured, (bad anatomy::1.2), rough proportions, (deformed::1.2), (ugly proportions:1.2), painful, (deformed limbs), no arms, no legs, extra arms, extra legs, (mutated hands), ugly hands, (fused fingers), extra fingers, long neck, (ugly eyes::1.1), ugly eyes, two heads, bad dream, (distorted image), unrealistic dream, illusion, (ugly toes::1.2), (ugly toes::1.2), boring, sketch, censored, dim, signature, letters, watermark, low resolution, terrible, artifacts, (bad photo:1.2), rough, black and white, low quality, poor quality , cropped, bad photographer, (bad camera, bad lens::1.2), (poor camera setting::1.2), squint, deformed, video game, strange colors, (worst quality, low quality, normal quality::1.2), (low resolutions,:1.2) (low details,:1.2) oversaturation, under-saturation, overexposure, underexposed, grayscale, (poorly lit::1.1), bad shadow, draft"
Negative NotRealistic,,"3d render, grayscale, too dark, doll, not realistic, bad quality, low quality, drawing, sketch, simple, backlit, backlight, underexposure, underexposed, repetitive, tiled, cloned, child, copied, cartoon, (low quality:1.3), blurry, ugly, tiling, poorly drawn"
