name,prompt,negative_prompt
,,
>>>>>>>TEXT & FOOD STYLE<<<<<<<,,

NA - Text - NewYear - Random Holiday Decorations,"Random Holiday Decorations, {prompt} - text composed of a random assortment of New Year's decorations, such as ornaments, garlands, Christmas stockings, snowmen, toy reindeer, stars, snowflakes, pinecones, holly, presents, paper lanterns, candles, and other festive elements, scattered on a dark and textured background in a random order, to create a sense of joyful chaos",
NA - Text - NewYear - Colorful Holiday Embellishments,"Colorful Holiday Embellishments, {prompt} - text composed of various colorful holiday embellishments, such as ornaments, garlands, and bows, arranged in a symmetrical pattern to create a sense of festive cheer, with a focus on bright and vibrant colors, like red, green, and gold.",
NA - Text - NewYear - Warm Morning Lighting,","Warm Morning Lighting, {prompt} - text composed of various holiday decorations, such as ornaments, garlands, and Christmas stockings, arranged in a random pattern to create a sense of cozy warmth, with a warm and inviting morning lighting effect, featuring soft pinks and blues",
NA - Text - NewYear - Bright Holiday Spotlight,","Bright Holiday Spotlight, {prompt} - text composed of various holiday decorations, such as ornaments, garlands, and Christmas stockings, arranged in a spotlight effect to create a sense of bright and festive illumination, with a focus on shimmering gold and silver accents",
NA - Text - UA feast style ,"Ukrainian feast typography, {prompt} - text artfully composed of traditional Ukrainian dishes and ingredients, professional food styling, warm studio lighting with soft shadows, rich color palette, assortment of the table: sliced pieces of black bread, rich borscht with sour cream, dumplings, red caviar with pancakes, slices of beef stroganoff, rings of homemade sausage, pieces of smoked fish, vinaigrette salad, pickled cucumbers and mushrooms, garlic cloves and onion rings, dill sprigs, mug of lager beer with foam, a linen tablecloth with Ukrainian ornaments",
NA - Text - Breakfast style commercial photo,"Commercial food typography, {prompt}, text composed of various breakfast items, professional food styling, high-quality studio lighting, shallow depth of field, vibrant color palette, crisp details, elegant tableware, artisanal coffee cup, fresh flowers or herbs as accents, marble or wooden surface, soft fabric napkins, carefully placed utensils, dewdrops on fruits, steam from hot items",
NA - Text - Meat style commercial photo,"Meat platter typography, {prompt}, text composed of various cured and cooked meats, charcuterie board layout, assortment of cold cuts (salami, prosciutto, ham), grilled sausages, bacon strips, roasted chicken pieces, beef slices, pork cuts, garnished with fresh herbs and whole peppercorns, wooden cutting board background, warm lighting, rustic atmosphere, high-contrast details",
NA - Text - Barbecue style commercial photo,"Grilled meat and barbecue typography, {prompt}, text composed of various grilled and roasted meats, abundant display of sizzling barbecue, juicy steaks, smoking hot shashlik skewers, char-grilled chicken pieces, flame-kissed pork ribs, succulent kebabs, crispy bacon strips, grilled sausages, garnished with fresh herbs and grilled vegetables, visible grill marks, smoky atmosphere, rustic wooden or stone background, warm lighting emphasizing meat textures",
NA - Text - Feast of grilled meats style commercial photo,"Feast of grilled meats typography, {prompt}, text composed of diverse grilled and roasted meats, succulent shashlik skewers with vibrant sauces, juicy lamb chops, whole roasted ham, sizzling sausages on the grill, barbecue ribs, flame-kissed steaks, rotisserie chicken, kebabs with vegetables, garnished with fresh herbs (parsley, dill, cilantro) and grilled vegetables (bell peppers, zucchini, onions), visible grill marks and smoky char, rustic wooden or stone background, warm lighting emphasizing meat textures, frosted beer mugs with condensation, colorful vegetable salad for contrast",
NA - Text - Pizza feast style commercial photo,"Pizza feast typography, {prompt}, text composed of various pizza slices and toppings, diverse pizza styles (Margherita, Pepperoni, Hawaiian, Quattro Formaggi), melted cheese strings, crispy crust edges, colorful vegetable toppings (bell peppers, olives, mushrooms, onions), meat toppings (pepperoni, sausage, ham), fresh herbs (basil, oregano), visible texture of tomato sauce, sprinkled Parmesan cheese, pizza cutter nearby, rustic wooden pizza peel or stone background, warm lighting emphasizing textures and colors",
