name,prompt,negative_prompt
,,
>>>>>>> DYNAMIC pose + DYNAMIC prompt <<<<<<<,,                                              

NA-Dynamic Char pose 1,"{standing confidently | striking a pose | sitting casually | flirting playfully | looking away thoughtfully | standing with back turned | looking over shoulder}",
NA-Dynamic Char pose 2,"{standing confidently:1 | striking a pose:1.2 | sitting casually:0.8 | flirting playfully:1.1 | looking away thoughtfully:0.9 | standing with back turned:1 | looking over shoulder:1.1}",
NA-Dynamic Char pose 3,"(high quality, detailed, beautiful lighting), fit body full shot of a character, dynamic pose, 
{standing confidently | striking a pose | sitting casually | flirting playfully | looking away thoughtfully | standing with back turned | looking over shoulder}, 
(photorealistic:1.2), (hyperdetailed:1.3), 4k, vibrant colors, intricate details, (cinematic lighting:1.1), (sharp focus:1.2), (studio photography:1.1)",

NA-Dynamic studio photo,"(masterpiece, best quality, highly detailed), fit body portrait of a charismatic character,
{elegant contrapposto stance | confident power pose | graceful S-curve pose | dynamic walking pose | 
pensive seated pose | playful jumping action | dramatic over-the-shoulder glance | 
alluring reclined pose | mysterious profile view | bold hands-on-hips stance | contemplative leaning pose | candid laughing expression | 
seductive hip pop pose | regal straight-backed posture | casual cross-legged sitting | 
intense direct eye contact | whimsical twirling motion | thoughtful chin-on-hand pose | 
energetic arms-raised celebration}, {prompt}
(professional photography:1.3), (studio lighting:1.2), (high fashion:1.1), 
(bokeh:0.8), (shallow depth of field:0.7), 8k resolution, 
(natural skin texture:1.2), (expressive eyes:1.1), (flattering angles:1.2)",

NA-Dynamic photo shoot pose 1,"(masterpiece, best quality, highly detailed), full view of body portrait of a charismatic character,
{elegant contrapposto stance | confident power pose | graceful S-curve pose | dynamic walking pose | 
pensive seated pose | playful jumping action | dramatic over-the-shoulder glance | 
alluring reclined pose | mysterious profile view | bold hands-on-hips stance | 
ethereal dancer's arabesque | contemplative leaning pose | candid laughing expression | 
seductive hip pop pose | regal straight-backed posture | casual cross-legged sitting | 
intense direct eye contact | whimsical twirling motion | thoughtful chin-on-hand pose | 
energetic arms-raised celebration}, {prompt}
(professional photography:1.3), (studio lighting:1.2), (high fashion:1.1), 
(bokeh:0.8), (shallow depth of field:0.7), 8k resolution, 
(natural skin texture:1.2), (expressive eyes:1.1), (flattering angles:1.2)",

