name,prompt,negative_prompt
>>>>>>>> ARTWORK STYLES PACK #1 <<<<<<<<,,
"NA - CGI style: ""Цифровой Пантеон""","epic CGI animation still of {prompt}, cinema 4D motion capture topography, physics-driven particle systems, virtual cinematography lighting, multiscale fractal geometry, hypermaterial PBR workflows, machine learning interpolated frames, non-linear time slicing, quantum physics-rendered phenomena, photonic crystal optics, chaotic fluid dynamics simulations, atomic-scale surface imperfections, trillion-poly scene optimization, cinematic universe worldbuilding","stop motion, 2D animation, realism, cartoon style, flat colors, amateur 3D, simple shapes, blur, text, static poses"
"NA - Anim style: ""Кадрогенезис""","neo-animation keyframe of {prompt}, deformable chronological transitions, metatemporal scene fusion, synchronized multi-perspective storytelling, quantum superfluid frame blending, emotional physics exaggeration principles, post-human motion algorithms, reality-dissonance color shifts, neural style transfer interpolations, time-warp deformation fields, 4D spatiotemporal composites, predictive action anticipation poses, holographic frame multiplicity","static image, real physics, normal timing, single viewpoint, logic consistency, pale colors, basic compositions, text elements, photography"
"NA - Cel Craft: ""Аналоговая Душа""","hand-drawn 2D animation masterpiece of {prompt}, Disney Renaissance character design, painted background plates with gouache texture, traditional ink line art, three-point cel-shading system, intentional animation errors for nostalgic feel, limited color palette with film stock color bleed, light table overlay effect, visible pencil sketches under paint, 12 FPS motion blur simulation,昭和 anime aesthetic roots, pre-digital era craftsmanship","3D rendering, computer-generated gradients, perfect smoothness, modern vector art, photorealistic textures, digital compositing, noisy details, AI-generated artifacts"
"NA - Classic book cover style: ""Victorian Tome""","vintage leather book cover of {prompt}, embossed gold filigree patterns, cracked parchment texture, wax seal with heraldic emblem, faded ink calligraphy title, art nouveau botanical borders, antique brass clasps, chiaroscuro lighting inspired by William Morris, intricate wrought iron details, hand-marbled endpapers visible on edges, 19th century engraving aesthetic, photorealistic material rendering, studio quality 8k","modern design, digital art, anime, neon colors, sci-fi elements, flat lighting, cartoonish style, blurry details, cyberpunk"
"NA - Book cover style: ""Quantum Grimoire""","mystical book cover design of {prompt}, hypermaterial PBR leather texture with nano-circuit engravings, holographic title floating in 4D space, electromagnetic aurora backdrop, quantum entanglement patterns glowing through vellum pages, cinematic edge lighting, intricate runic constellations, inspired by Berserk and William Blake, 16k resolution, Octane Render, trending on ArtStation, unreal engine physics simulation","flat colors, cartoonish style, low poly, blurry details, modern typography, human figures, watercolor textures, anime aesthetics"
"NA - Watercolor style: ""Aquarelle Dreamscape""","delicate watercolor painting of {prompt}, soft bleed effects on cold-pressed paper, translucent pigment layers, blooming color gradients, visible brushstroke texture, ethereal atmospheric diffusion, splatter accents with granulation effects, inspired by Alvaro Castagnet and Joseph Zbukvic, handcrafted aesthetic, muted undertones with vibrant focal points, natural lighting through wet-on-wet techniques, artistic imperfections preserved","flat colors, cartoonish style, low poly, blurry details, modern typography, human figures, watercolor textures, anime aesthetics"
"NA - Cartoon Modern style: ""Retro Future Tunes""","80s retro-futuristic cartoon of {prompt}, laminated vinyl texture background, CRT screen glow effect, chromatic aberration borders, VHS tracking lines overlay, synthwave gradient fills, angular character designs, limited animation smears, neon grid perspective lines, laser disc reflection highlights, polaroid photo corners decor, 4-color screen printing simulation","realism, watercolor, photobashing, intricate details, oil painting, minimalist, 3D rendering, smooth gradients, modern flat design"
"NA - Fantasy Art style: ""Mystic Realms""","epic fantasy scene of {prompt}, mythical creatures with iridescent scales, ancient stone ruins overgrown with magic flora, volumetric godrays piercing through storm clouds, intricate armor details with elven runes, bioluminescent forest underdark, Arthur Rackham meets Brian Froud illustration style, 16k resolution, hyper-detailed digital painting, cinematic composition with dramatic perspective","modern elements, cartoonish style, simplicity, flat colors, realism, low contrast, sci-fi, technology, photography"
"NA - Comic Book style: ""Grunge Crusaders""","gritty comic book panel of {prompt}, heavy ink lines with brush texture, Ben-Day dot shading, pop art color explosions, dynamic Kirby crackle effects, torn paper edges overlay, speech bubbles with hand-drawn text, dramatic perspective angles, label tape textures, vintage comic gutter patterns, inspired by Frank Miller and Mike Mignola, 2-color printing simulation","realism, soft shading, watercolor, 3D rendering, minimalism, photography, digital art, smooth gradients, anime style"
