name,prompt,negative_prompt
,,
>>>>>>> Dynamic style <<<<<<<,,
NA - Dynamic style - basic,"style dynamic motion, {prompt}, figure in mid-action, motion blur effects, dynamic pose, flowing elements, sense of movement in surroundings",
NA - Dynamic style - hero,"style dynamic hero, {prompt}, exaggerated muscular anatomy, intense facial expression, dramatic pose, flowing costume, high-contrast shading",
NA - Dynamic style - manga action,"manga-inspired character, {prompt}, speed lines, dynamic perspective, exaggerated expressions, bold outlines, action-packed pose",
NA - Dynamic style - cyberpunk fighter,"futuristic warrior, {prompt}, neon accents, cybernetic enhancements, sleek metallic surfaces, dynamic action pose, urban sci-fi background",
NA - Dynamic style - fantasy warrior,"epic fantasy warrior, {prompt}, ornate armor, magical weapon effects, muscular physique, intense battle stance, mystical environment",
NA - Dynamic style - street fighter," urban brawler, {prompt}, gritty realism, dynamic martial arts pose, street clothes, intense facial expression, city alley background",
NA - Dynamic style - superhero action,"comic book superhero, {prompt}, dynamic flying pose, energy effects, bold colors, dramatic lighting, city skyline",
NA - Dynamic style - sports action,"athletic figure, {prompt}, mid-action sports pose, dynamic muscle definition, intense concentration, motion blur effects",
NA - Dynamic style - dancer motion,"graceful dancer, {prompt}, fluid movement, flowing fabrics, expressive gestures, stage lighting, motion trails",
NA - Dynamic style - samurai combat,"fierce samurai, {prompt}, traditional armor, katana in motion, intense battle cry, cherry blosssom background, ink splash effects",
NA - Dynamic style - parkour action,"agile traceur, {prompt}, mid-air leap, urban obstacles, dynamic body positioning, motion lines, city rooftop setting",
NA - Dynamic image style - epic battle,"massive conflict scene, {prompt}, clashing armies, explosive effects, dynamic composition, intense color palette, dramatic sky",
NA - Dynamic image style - high speed chase,"adrenaline-fueled pursuit, {prompt}, blurred backgrounds, dynamic vehicle angles, intense lighting, urban or rural setting",
NA - Dynamic image style - magical duel,"wizard battle, {prompt}, colorful spell effects, swirling energy, dramatic lighting, mystical environment, intense facial expressions",
NA - Dynamic image style - natural disaster,"powerful forces of nature, {prompt}, dynamic weather effects, chaotic scenes, high contrast, intense colors, human elements for scale",
NA - Dynamic image style - futuristic race,"sci-fi speed competition, {prompt}, sleek vehicles, neon light trails, futuristic city backdrop, dynamic camera angle",
NA - Dynamic image style - explosive action,"high-octane scene, {prompt}, fiery explosions, flying debris, dynamic character poses, intense lighting, chaotic environment",
NA - Dynamic image style - mythical creature battle,"legendary beasts fighting, {prompt}, fantastical environments, dynamic creature designs, elemental effects, epic scale",
NA - Dynamic image style - urban parkour,"city in motion, {prompt}, dynamic architectural elements, figures in mid-leap, low angle shots, motion blur, graffiti accents",
NA - Dynamic image style - space combat,"interstellar battle scene, {prompt}, dynamic spaceship maneuvers, colorful weapon fire, nebula backgrounds, explosive effects",
NA - Dynamic image style - martial artstournament,"intense combat arena, {prompt}, multiple dynamic fighting poses, crowd reactions, dramatic lighting, motion emphasis",
